tweets,id
"told dress conserv child whyididntreport ibelieveblaseyford",88
"No amount sympathi accus stori make accus target guilti even accus post whyididntreport nsome women lie nhttp co hwtyb5oieq http co qc23bmvlmd",89
"I u2019t report I u2019t sure u2019t I young doctor whyididntreport",90
"teen beauti queen say trump walk In On them chang n nhttp co u8eydlmw2f n n resist trump metoo stormydaniel n whyididntreport christineblaseyford kavanaugh",91
"whyididntreport I 13 start period He came room night mother gone bed for 6 month I threaten butcher knife I dri He told one would believ I final told mother I 17 she",92
"hey fellow fella ninstead incub fragil cocoon masculin mayb actual go see actual document stori coincid whyididntreport trend happen dismiss might help see sever",93
"I piss I want vote I want vote novemb get fast enough n whyididntreport n 25thamend rosenheim http co cmfzdzkavr",94
"He best friend u2019 boyfriend went cousin u2019 wed I got total trash We stay hotel night I woke top pass woke cousin top My best friend blame whyididntreport",95
"kaitlinfontana whyididntreport I suppos hotel parti boy I 17 My dad die I wanna caus mom grief I wear short short I felt like fault",96
"whyididntreport He top polic detect word vs I adult porn fetish model time would believ plu I fear would plant someth I would one jail",97
"child would ruin alreadi pretti broken famili dynam one would believ believ son capabl told u2018it u2019t count u2019 whyididntreport",98
"whyididntreport I young understand fault",99
"I 7 year old start I child perpetr father uncl whyididntreport",100
"hollywood weigh In On top trend whyididntreport respons To donald trump http co g8tkkagljd",101
"whyididntreport punch realiti need heart ach everi women unabl report",102
"I thought fault I chang mind I drunk u2019t care I asham u2019t want anyon els know especi famili whyididntreport",103
"whyididntreport I 9 year old first ever slumber parti woke bed friend father cover urin I scare death I u2019t realiz happen I much older asham bring light",104
"Tw sexual assault mention n n n n nshe someon I consid best friend I cave pressur thought fault despit fact I never want whyididntreport",105
"whyididntreport http co awcu1fxu2z",106
"she cannot right movement good possibl calcul desper move democrat A griresqu lie hide behind real movement like metoo whyididntreport",107
"I actual report they polic amp hospit personnel believ 12 hour assault My rapist never question detect whyididntreport",108
"atlanticcanuck clairermassey susiezygi gentlemindmom bigcox40 robinandriv gomeschantel onlybatcat sanesophisticat ruetheday852 bandieran meloniasherban taggartrehnn holachola dinasas69 webwolfhound impinkestgirl yeropinion wildweezl aprylsmitht teenytinyflam carmenr1carmen fenrir_71 eronel35 10minutesaday4u mschade2020 motherof2wolv lockeshini robertvosfrer veronicadevine6 impeach_45now beverlybednarc1 deepstateshu sbuttsi marciabunney ginadem gideonneptun llaws2 heretical_1 therealjtiii brianpaulstuart mystcol democracyjourno stylecounsel_30 robertgreen16 rmontanez3rd tonia8675309 keepladywarm genej101 lauren_ten wow whyididntreport I knew husband would angri but I also knew put blame sinc I work garden w short tank top get angri I went 2 town short say I look like slut yeah last year togeth uber jealou",109
"alyssa_milano realdonaldtrump whyididntreport I final told mom I 35 told move citi gave mother phone number contact thought would nice friendli face show around",110
"whyididntreport nexactli peopl still report exactli happen attack victim call man fine",111
"there mani reason whyididntreport I regret everi day",112
"whyididntreport aka number 1 trend",113
"I told cop ER doctor I chanc justic system work So I want badli forget whyididntreport",114
"whyididntreport I tri report former abus local polic found woman offic told grow pair stop wast polic time n nreport make thing wors abus particularli women",115
"TW n n whyididntreport nbecaus first abus good ol dad primari social worker town n nlater I date rapist report thing 35 year ago one I stuf insid shoulder alon",116
"even love parent I scare would think 17 get held man ten year senior rape beaten liter scare life n n whyididntreport http co 1c9j9dphra",117
"thi metoo amp ibelieveh amp whyididntreport make certain type peopl nervou n u201cbad behavior u201d excus boyswillbeboy well even happen us accept warp view that excus u2019t fli anymor amp http co mwpbwjovh0",118
"everi time touch front wit adult teacher nif care saw good would word n whyididntreport",119
"A lot men nervou fuck bc rememb amp readili overlook and suddenli len histori u2019t forgiv n n whyididntreport becaus one would u2019v believ anyway and I u2019t energi face accus",120
"He boss closest thing I ever mentor regularli stare chest It annoy person till point seem give crap tech career I put n n whyididntreport",121
"whyididntreport fratern amp word amp 3 frat brother mine that late 80 I still affect nightmar I lost best friend drop colleg amp never believ peopl matter metoo",122
"No joke realdonaldtrump tweet trigger I u2019m current cri eye reliv fuck assault but sinc I u2019t report I lose credibl whyididntreport",123
"alyssa_milano realdonaldtrump hey realdonaldtrump I sexual assault stepfath child when I told mother accus lie when exhusband rape twenti I told one year It affect everi aspect life metoo whyididntreport",124
"whyididntreport http co et5uyxllzp",125
"these account devast sadden peopl live constant fear brave speak whyididntreport",126
"My brain tri fix solv logic way disturb mess convinc year n n u201cif I said one time u201d n n u201cif I u2019t drink u201d n n u201cif I If I If I u201d whyididntreport",127
"whyididntreport told fault I believ",128
"I understand need whyididntreport hashtag not one women whose pu i I grab ever complain fbi qanon tell fakenew",129
"No one care serial abus power democrat whyididntreport http co xh2j7vthnc http co fznbnpsz8c",130
"becaus two year old I u2019t want ruin chanc appoint suprem court n n whyididntreport n funfactfriday http co nr4ocjawja",131
"If need vector trace photo edit background remov amp graphic work contact upwork http co uuifabeiwo n fiverr http co b4s3imfdyq n n whyididntreport fridayfeel internationaldayofpeac sex flashbackfriday googledoodl afltigerspi aflfin",132
"whyididntreport I could give sever incid throughout life I didnt report I report DA 1 x I older incid I 13 said statut run time chang touch MF gofuckyourselv http co lptnfdkumn",133
"alyssa_milano b_b_bacon realdonaldtrump I want call polic one help A year later friend father molest famili vacat I kept mouth shut bother like said mad victim differ reason keep thing whyididntreport",134
"whyididntreport pass claim unsubstanti victimhood stick men reject espous polit view I like metoo feminista movement",135
"whyididntreport after donald trump tweet sexual assault survivor share stori http co 4l6jlcgici",136
"she touch peppi whyididntreport http co 6xguwf7dr",137
"delaneytarr whyididntreport I hope vote anger feroc I u2019t wait see outcom",138
"whyididntreport npray death seem easier honestli",139
"whyididntreport metoo http co slu9uutou",140
"becaus happen night I knew would said whyididntreport",141
"whyididntreport send prayer virtual hug women victim god bless ya n noh yeah some men also victim n nsome peopl take month year heal and take forev It heartwrench n nmay god merci upon us u0001f64f",142
"the first time happen I 12 nobodi believ famili member when I 17 guitar teacher I blame hous alon when I 19 I drug dismiss I u201cwent hard night u201d whyididntreport",143
"franklin_graham you not follow god bibl you sir demon worshipp sold wick soul n whyididntreport",144
"damn these stori f respect will divulg n nthat said appar frequenc incid uncanni It like america gun issu stuff complet swept rug n n whyididntreport",145
"I knew panick tear would happen soon Dr ford came forward I knew news stori wld caus break pt today happen I turn msnbc amp saw sexual assault chief said abt u2019t report whyididntreport",146
"whyididntreport n nstormi daniel It tini shrivel toadstool I get paid 130 000",147
"mayb u2019r readi need someon talk u0001f447 u0001f3f u0001f447 u0001f3f I whyididntreport http co dh3tr4fr9m",148
"wanna know women scare report one good exampl go read glen ridg NJ trial 80 autist girl rape footbal player bat trial she wa made out TO BE the bad person whyididntreport",149
"whyididntreport one person famili amp I dont want upset everyon anoth I rememb piec amp I tri push brain I becom physic ill",150
"whyididntreport whi think mother would tell son experi happen born young even teenag same sister whi would share would abl help To punish guy",151
"read whyididntreport heartbreak u0001f64f u0001f3f u0001f64f u0001f3f",152
"whyididntreport http co nfzvzkqfwk",153
"after 30 year old man beat tortur molest 3 sister 4 year never got charg I figur get away whyididntreport",154
"whyididntreport u201chav fun u201d http co oopajflj9w",155
"whyididntreport high school friend group I tell polic told promis career armi ruin life press charg http co zeqa9xstkn",156
"On top everyth els I u2019d go guidanc counselor whyididntreport",157
"alyssa_milano whyididntreport u2026h My uncl He neighbour My mom still u2019t know metoo",158
"I 18 I told peopl whose hous friend assault said My boyfriend believ went confront guy friend said fault It went fault whyididntreport",159
"I report and everi aspect experi pain medic exam interrog polic meet US embassi offici I abroad ask I learn lesson ultim dismiss case made wish I u2019t whyididntreport",160
"fear parent would blame teas boy amp groom teas boy lead 1980 boy barg bathroom amp would watch go bathroom work amp start kiss whyididntreport",161
"whyididntreport I alreadi reput sleep peopl I even would believ n nthey believ rumor believ",162
"whyididntreport n nbecaus peopl I confid believ nbecaus I realiz I deserv treat better nbecaus I felt asham nbecaus I told move nbecaus I young nbecaus I scare",163
"stonecold2050 could anymor disgust n turncoat n whyididntreport",164
"I like thank great men life right twitter peopl see women other differ fellow human be respect treat equal spread around n whyididntreport",165
"free webinar free train how To make money do simpl job On facebook and twitter http co gyioyteagk n makemoneyonlin makemoneyfromhom whyididntreport",166
"the venn diagram men feel attack metoo movement men know buy roofi perfect circl n whyididntreport",167
"victim blame attitud margin victim survivor make harder come forward report abus If survivor know societi blame abus feel safe comfort come forward whyididntreport",168
"whyididntreport Bc ppl I surround time let think fault",169
"My brother pass away sort day It I found I pregnant I knew someth happen I could never prove I consent even though I know I never would consent right mind whyididntreport",170
"whyididntreport nbecaus frame grope joke front group friend laugh entir incid",171
"I report fake account fake oprah fake cher I could go whyididntreport fakeaccount ontwitt",172
"whyididntreport nout fear love one and deep amount shame I held",173
"whyididntreport nI lost count mani men white men live ruin Al sharpton hoax",174
"I u2019t know realiz men boy report hurt women way woman given benefit doubt often boy man accus sexual assault rape form abus claim ignor whyididntreport",175
"It u2019 like bad joke internationaldayofpeac trend whyididntreport I need intern futur without trump find freak peac",176
"the first time I high school I scare evangel parent would react daughter kiss guy I thought fault spite say tell guy I tampon care whyididntreport",177
"thehil some women use metoomvmt way fals blame man like not men guilti women tell truth whyididntreport innocentuntilprovenguilti",178
"alyssa_milano realdonaldtrump whyididntreport nbecaus I five neighbor like masturb front I u2019t know word yet I u2019t understand I felt sick I u2019t vocabulari report istandwithchristineblaseyford metoo u2060 u2060",179
"whi use time divid could use opportun connect whyididntreport",180
"whyididntreport noth happen",181
"wa I brutal assault afraid life No still excus mean okay whyididntreport http co vm08hpneou",182
"I 5 famili 41 year later I terrifi idea hit tweet whyididntreport",183
"piskooooo huffpost metoo I cant rememb 0 evid believ hate women now submit shut ignor fact accus accomplish state goal polit parti seizur 2 year straight whyididntreport",184
"becaus frankli I still work guilt denial n n whyididntreport",185
"becaus shame fear whyididntreport",186
"prageru thedemocrat and truth I believ liberallog whyididntreport",187
"n u2b55 ufe0fallah say nexalt name lord most high nwho creat proport nand destin guid nhttp co ldvystdpl1 n n whyididntreport rosenstein n trump weekend friyay totp friday iimemori n internationaldayofpeac n D xedainternacionaldelapaz http co xztvu2igag",188
"whyididntreport I 15 It 1986 I know rape I knew In mind I call bad thing happen I thought fault I knew one would believ I blame I afraid I get troubl I want forget",189
"bizarr irrat feel shame idea everyon would discuss happen whyididntreport",190
"cori booker kamala harri disgrac democrat parti whyididntreport",191
"I drank much I left earlier He probabl tri nice wors thing happen peopl n n whyididntreport http co nqdwhxczuu",192
"one best thing life see kitten play thi articl realli great http co ryuset1hgv kitti kitten kitten kittensofinstagram cat cat dog dogsoftwitt dogstagram catsoftwitt fridaymotiv fridaybrief whyididntreport",193
"whyididntreport testifi want fli",194
"look like penguin took whyididntreport tweet n nbut http co iizxded1tz",195
"whyididntreport heartbreak thing u2019ll ever read man smh men women u2019v hold pain hurt year sad say I know feel",196
"gop senatemajldr senategop senjudiciari senatorcollin lindseygrahamsc senorrinhatch lisamurkowski senbobcork n dearprofessorford whyididntreport http co 5uiwj9sgxi",197
"major abus power poison well protect alway n senfeinstein senatorleahi senatordurbin senwhitehous amyklobuchar chriscoon senblumenth maziehirono senbook senkamalaharri nsee whyididntreport http co 00k0txx1yn",198
"wsj design flyer roll Up banner photo edit grow busi rapidli ncontact fiverr DM nflyer http co nxilfgl0az nphoto edit http co ikhnkcw2vp nroll Up banner http co ssgtrobxqh n whyididntreport jeffbanist coyoac xe1n fridayfeel usa",199
"whyididntreport http co 9bfct5k65e",200
"whyididntreport I u2019t know I stay silent I felt though fault I felt better keep let peopl close worri I 15 So young confus",201
"I dealt workplac sexual harass I need make live find way best make invis No one would believ whyididntreport",202
"I knew nobodi would believ u0001f606 whyididntreport",203
"whyididntreport small school word spread victim punish becaus parent believ u2019 almost alway victim fault becaus knew like everyon I knew peopl u2019t understand becaus I would lose friend becaus I scare",204
"whyididntreport I 16 probabl somewher I If case Dr ford rememb brett realdonaldtrump how mani women report you donthecon snakeoilsalesman flimflamman grifterinchief fakepresid thuginchief",205
"the stori I read whyididntreport heart break infuri ok n nthe overwhelm theme rape survivor believ shame keep quiet actual fuck it soul destroy make question human core",206
"No one ever judg long take report what appauld fact found strength they comfort encourag respect No one deserv blame harrass report whyididntreport",207
"becaus first time I kid nbecaus second time boyfriend nbecaus third time respect member commun last person I ever expect nthe last one less year ago ugh n whyididntreport",208
"I thought fault whyididntreport",209
"I 15 time the guy blackmail rape He voic record address name I report I know I would blame foolish would get away everyth whyididntreport",210
"whyididntreport As teen I went parti drank much pass month later friend told guy brag I f cked night I memori evid drink underag I report He got away",211
"how get untrigg n nask n n whyididntreport n calgontakemeaway",212
"design flyer roll Up banner photo edit grow busi rapidli ncontact fiverr DM nflyer http co nxilfgl0az nphoto edit http co ikhnkcw2vp nroll Up banner http co ssgtrobxqh n whyididntreport jeffbanist coyoac xe1n fridayfeel usa http co iuy8mbzqhl",213
"victim blame attitud also reinforc abus say along victim u2019 fault happen n nit not victim u2019 fault respons fix situat abus u2019 choic whyididntreport",214
"CW incest n nI u2019t want big brother go prison n nhe eighteen year older I u2019d alreadi lost anoth brother n nmi sister alreadi told dad u2019t believ I report later amp u2019t believ n nsibl incest complic n n whyididntreport",215
"CW assault n nlater much older man abus assault teenag I u2019t report I u2019t know expect differ I thought normal n nmani reason n nsome uniqu certain men event true n n whyididntreport",216
"En una fiesta una se xf1ora empezaron toquetear dejaban ir whyididntreport",217
"alyssa_milano 1st time becaus u201cboyfriend u201d n 2nd time becaus Dr colleg student health center It happen exam room whyididntreport",218
"not sure belong full truth n n stopkavanaugh whyididntreport http co ugghujqtqw",219
"I went 2 adult sinc I 14 amp 17 date 4 month father could fire adult I went amp 2 adult extramarit affair w I told expect amp I play w fire fault n whyididntreport",220
"I u2019t tell anyon member militari unit sexual assault I alreadi seen higher up railroad anoth woman unit report sexual harass also harass whyididntreport",221
"whyididntreport I 5 older boy suddenli molest I u2019t report n1 I u2019t word n2 I thought fault I u2019t sit u201clik ladi u201d",222
"He stepfath report even occur If polic help actual rape victim would never listen someon pin bed whyididntreport",223
"I scare would wors n whyididntreport",224
"By engag victim blame attitud societi allow abus perpetr relationship abus sexual assault avoid account action n whyididntreport",225
"whyididntreport mani us told law enforc even worth http co iiw3naqzbi",226
"see whyididntreport top trend topic twitter heartbreak amp testament much need chang come handl report assault believ survivor",227
"trump compani lawyer involv effort keep stormi daniel silent document show n nhttp co f2webrg0oh n n resist trump metoo stormydaniel n whyididntreport christineblaseyford kavanaugh",228
"whyididntreport http co hnzfovru3a",229
"miribohem I beg plead stop hurt cri tri scream took year realiz consensu sex rape whyididntreport",230
"bornfer I u2019t report I man woman drug threaten make stori arrest say I rape Is valid enough excus No great whyididntreport",231
"becaus u2019t pay money new contract whyididntreport",232
"cbsphilli design flyer roll Up banner photo edit grow busi rapidli ncontact fiverr DM nflyer http co nxilfgl0az nphoto edit http co ikhnkcw2vp nroll Up banner http co ssgtrobxqh n whyididntreport jeffbanist coyoac xe1n fridayfeel usa",233
"whyididntreport nnobodi anyth heard scream",234
"To survivor share whyididntreport nwe see nwe believ nwe support nthank",235
"I 15 asham scare amp afraid one would believ whyididntreport realdonaldtrump",236
"I nearli sexual assault twice 2 differ boy high school time parti friend walk stop attack I report either I know I could I know I I thought part life n whyididntreport",237
"whyididntreport sadden heart read mani peopl suffer silenc Im sorri go im sorri human fail",238
"design flyer roll Up banner photo edit grow busi rapidli ncontact fiverr DM nflyer http co nxilfgl0az nphoto edit http co ikhnkcw2vp nroll Up banner http co ssgtrobxqh n whyididntreport jeffbanist coyoac xe1n fridayfeel usa http co 2hmv7avnxc",239
"1 I scare n2 I asham n3 I blame n4 I laugh n5 I told big deal n6 I told I get use n7 I told didnt say NO n8 I told ask help n9 I told n whyididntreport",240
"after trump tweet survivor sexual assault respond whyididntreport cnn http co sulb00bopz",241
"gop senatemajldr senategop senjudiciari senatorcollin lindseygrahamsc senorrinhatch lisamurkowski senbobcork n dearprofessorford whyididntreport http co 0xpiehd372",242
"whyididntreport be afraid taken serious one person I told happen told fault",243
"whyididntreport I felt I would blame put situat u0001f494",244
"whyididntreport women prefer enabl",245
"whyididntreport I u2019t physic visibl proof wit just word I felt like u2019t enough convinc other man u2019 voic would use lack proof prove case My word versu u201cproof u201d I u2019t stand chanc",246
"My thought whyididntreport trigger warn",247
"realdonaldtrump whyididntreport becaus A hole like u201ca bad say u201d how bad ivana and forc chang stori becaus A hole like",248
"whyididntreport I 11 I terrifi one would care believ He famili best friend hero I scare would destroy famili when I tell fear confirm No one care No one believ",249
"whyididntreport becaus I think anybodi would listen care",250
"darth_vaderno1 hypocrit n n whyididntreport I thrown cell without due process anali probe then froze ass carbonit n nand let even talk leia get stuck ball MD n n fridayfeel piss n nhttp co cycba1oqf",251
"instead ask women come forward mayb think feel safe come forward whyididntreport",252
"whyididntreport I u2019t think anyon would believ I u2019t want go public harass I condit believ u2019t big deal",253
"abus consciou choic made abus whyididntreport",254
"these whyididntreport tweet incred heart break u0001f614",255
"I drunk n nI humili n nwhen came room happen guy cheer look disgust n none u201cbest friend u201d told I u201cshouldn u2019t drink anyway u201d n nbecaus I believ fault n n whyididntreport",256
"whyididntreport n nI My parent believ nbut school want scandal said accident touch one knew say anyth tri make believ accid clearli laugh face touch",257
"whyididntreport I 43 year old I rape behind pub england I 12 one home tell I just last night told roommat whole stori I never told ivankatrump father disgrac caus noth miseri",258
"whyididntreport help tear read stori it hard open wound like the wound never heal I feel peopl open stori",259
"first I littl speak next I told I shame then politician then I saw presid get elect accus and whyididntreport",260
"whyididntreport I knew happen countless women tri report I u2019t want told I lie whole life put trial I much pain go http co e1fyg7n2oq",261
"hey nI photoshop removebackground 25 pictur 5 and client work If need help drop messag http co otn2gdkdt7 n n whyididntreport nrosenstein n fridayfeel n25th amend n internationaldayofpeac naddison russel n flashbackfriday http co zd91nb0htc",262
"whyididntreport 1st time despit admit abus father convinc mother stop 2nd time I rape longtim boyfriend He convinc one would believ I consent past",263
"My rage built trust result kick shin kick anywher I could punch chest punch face squirm hard I could get whyididntreport",264
"screw trump women like come forward sexual assault peopl like believ us disgrac human whyididntreport http co rf50fsu8i",265
"realdonaldtrump impecc reput say guy brag grab women pussi you sick mental victim shame part problem nah I think whole countri could without opinion metoo whyididntreport",266
"whyididntreport metoo http co s0exsj0cf",267
"12th grade I middl geographi class day w substitut teacher guy pull djt I shove the sub saw everyth sid noth whyididntreport",268
"all tweep need read whyididntreport",269
whyididntreport,270
"whyididntreport assault colleg He want amp thought I owe He got angri I said He held I kick amp escap No one wouldv believ they wouldv said I ask I escap rel unharm I found roof",271
"gop senatemajldr senategop senjudiciari senatorcollin lindseygrahamsc senorrinhatch lisamurkowski senbobcork n dearprofessorford whyididntreport http co vmgzf31ugc",272
"the 1st one gaslit u201cyou ask ride home think would happen u201d felt like fault It 80 No one would believ whyididntreport",273
"whyididntreport nice guy one believ I tri say someth becaus peopl took side becaus told I act like bitter ex tri ruin someon rep reason becaus threaten daili kill",274
"think everyon read whyididntreport stori pain remind victim sexual assault deal n nand everyon share stori hear believ stand u0001f496",275
"It hurt heart see whyididntreport tweet post recent I know multipl side everi stori even victim sexual assault must heard unfilt except liar deceiv must believewomen men legit abus",276
"steph93065 don u2019t forget whyididntreport one",277
"realdonaldtrump n metoo n whyididntreport n ibelievechristineblaseyford http co 6djsbd5fug",278
"most latino famili consid disgrac dishonor talk sexual abus mani young women prefer talk avoid judg famili whyididntreport",279
"whyididntreport I didnt report assault fear believ told I exagger I 11 year old",280
"whyididntreport It stepfath afraid asham tell mother",281
"I think may time march washington mayb wednesday whyididntreport",282
"I aint snitch whyididntreport",283
"whyididntreport http co warbtmdati",284
"becaus I asham afraid peopl would say whyididntreport",285
"whyididntreport she face man rape attorney judg male rapist famili courtroom full peopl and without I one press charg therefor wit 3",286
"He junior decan church 18 yo next door neighbor I friend sister He held stuck finger insid felt like sharp knive He told I would get troubl I told I whyididntreport",287
"whyididntreport move past consid seriou enough put process ever elect appoint power public offic bet come forward",288
